school,name,period,sport_code,coachid,sport
Seton Hall University,"Donovan, Anne",Apr 2010 - Apr 2013,WBB,24325,Women's Basketball
University of Florida,"Donovan, Billy",Aug 2003 - Jun 2015,MBB,5745,Men's Basketball
Manhattan College,"Donovan, Jill",Aug 2003 - Aug 2004,WLA,9852,Women's Lacrosse
Long Island University-Brooklyn Campus,"Donovan, Matt",Nov 2016 -,WSW,45337,Women's Swimming and Diving
San Diego State University,"Donovan, Ryan",Aug 2004 -,MGO,2633,Men's Golf
Arkansas State University,"Dooley, Brian D.",Feb 2015 -,WSO,41350,Women's Soccer
"University of Tennessee, Knoxville","Dooley, Derek",Feb 2010 - Dec 2012,MFB,25393,Football
Louisiana Tech University,"Dooley, Derek",Feb 2007 - Feb 2010,MFB,19685,Football
Florida Gulf Coast University,"Dooley, Joe",May 2013 - May 2018,MBB,34434,Men's Basketball
DePaul University,"Dopek, David",Aug 2010 -,MTO,26020,"Men's Track, Outdoor"
DePaul University,"Dopek, David",Aug 2010 -,WTI,26017,"Women's Track, Indoor"
DePaul University,"Dopek, David",Feb 2011 -,MCC,27304,Men's Cross Country
DePaul University,"Dopek, David",Feb 2011 -,WCC,27305,Women's Cross Country
DePaul University,"Dopek, David",Aug 2010 -,MTI,26019,"Men's Track, Indoor"
DePaul University,"Dopek, David",Aug 2010 -,WTO,26018,"Women's Track, Outdoor"
Yale University,"Dorato, Alex",Aug 1991 -,MTE,22260,Men's Tennis
Pennsylvania State University,"Dorenkott, Bill",Aug 1995 - Aug 2008,WSW,8748,Women's Swimming and Diving
Pennsylvania State University,"Dorenkott, Bill",Aug 1995 - Aug 2008,MSW,6629,Men's Swimming and Diving
The Ohio State University,"Dorenkott, Bill",Aug 2008 -,WSW,6886,Women's Swimming and Diving
The Ohio State University,"Dorenkott, Bill",Jun 2017 -,MSW,52061,Men's Swimming and Diving
Hofstra University,"Dorin, Jonathan",Aug 2015 - May 2016,MTE,41570,Men's Tennis
Hofstra University,"Dorin, Jonathan",Aug 2015 - May 2016,WTE,41571,Women's Tennis
San Jose State University,"Dormann, John",Aug 2005 - Sep 2018,WGO,2051,Women's Golf
University of Utah,"Dorny, Megan",Aug 2003 - Aug 2007,WTE,9894,Women's Tennis
Dartmouth College,"Doron, Gilad",May 2016 -,WVB,45616,Women's Volleyball
University of San Francisco,"Doron, Gilad",May 2007 - Jun 2016,WVB,5759,Women's Volleyball
University of San Francisco,"Doron, Gilad",May 2016 - Jun 2016,WSV,42852,Women's Beach Volleyball
Villanova University,"Doron, Gilad",Aug 2003 - Mar 2007,WVB,429,Women's Volleyball
Valparaiso University,"Dorow, Tracey",Jun 2012 - Apr 2018,WBB,31967,Women's Basketball
"University of North Carolina, Chapel Hill","Dorrance, Anson",Oct 1976 -,WSO,22261,Women's Soccer
Abilene Christian University,"Dorrel, Adam",Jan 2017 -,MFB,45722,Football
"University of California, Los Angeles","Dorrell, Karl",Jan 2003 - Jan 2008,MFB,9472,Football
"University of California, Davis","Doten, Steve",Apr 2001 - Apr 2013,MWP,3813,Men's Water Polo
Hofstra University,"Dotolo, Chris",Aug 2001 - Aug 2008,MBA,5090,Baseball
Boston College,"Doton, Kelly",Aug 2015 -,WFH,41217,Field Hockey
University of Delaware,"Dottin-Carter, Dennis",Nov 2016 - Jan 2017,MFB,45667,Football
Murray State University,"Doty, Bob",Aug 2004 - Aug 2005,MTI,8546,"Men's Track, Indoor"
Murray State University,"Doty, Bob",Aug 2004 - Aug 2005,MTO,3066,"Men's Track, Outdoor"
Murray State University,"Doty, Bob",Oct 2004 - Jan 2005,WTI,3402,"Women's Track, Indoor"
Murray State University,"Doty, Bob",Oct 2004 - Jan 2005,WTO,1444,"Women's Track, Outdoor"
University of Iowa,"Dougherty, Katherine",Mar 2010 - Aug 2016,WTE,22835,Women's Tennis
Canisius College,"Dougherty, Meagan",Aug 2001 - Sep 2008,WSO,4327,Women's Soccer
Texas Christian University,"Dougherty, Neil",May 2002 - Mar 2008,MBB,20852,Men's Basketball
Iowa State University,"Douglas, Bobby",Jun 1992 - Apr 2006,MWR,4440,Men's Wrestling
Mississippi Valley State University,"Douglas, Danielle",Jun 2012 - Aug 2015,MTO,31603,"Men's Track, Outdoor"
Mississippi Valley State University,"Douglas, Danielle",Sep 2008 - Aug 2015,WTO,19734,"Women's Track, Outdoor"
Mississippi Valley State University,"Douglas, Danielle",Jun 2012 - Aug 2015,MTI,31602,"Men's Track, Indoor"
Mississippi Valley State University,"Douglas, Danielle",Sep 2008 - Aug 2015,WCC,19732,Women's Cross Country
Mississippi Valley State University,"Douglas, Danielle",Oct 2008 - Aug 2015,WTI,21375,"Women's Track, Indoor"
Mississippi Valley State University,"Douglas, Danielle",Sep 2008 - Aug 2015,MCC,34981,Men's Cross Country
University of Maryland Eastern Shore,"Douglas, Sam",Aug 2005 -,WSB,6551,Softball
University of Southern California,"Douglas, Turhan",Aug 1999 - Jun 2006,MVB,6664,Men's Volleyball
"University of California, Irvine","Douglass, Pat",Aug 2003 - Jun 2010,MBB,6355,Men's Basketball
University of Louisiana at Monroe,"Dow, Jeff",May 2014 -,WBB,36502,Women's Basketball
University of Vermont,"Dow, Rob",Mar 2017 -,MSO,46020,Men's Soccer
University of Oregon,"Dowd, Katrina",Aug 2016 - Aug 2018,WLA,44101,Women's Lacrosse
University of Pennsylvania,"Dowd, Michael",Feb 1997 - Jan 2009,WTE,1354,Women's Tennis
University of Michigan,"Dowling, Jan",Jun 2013 -,WGO,34349,Women's Golf
University of Florida,"Dowling, Jan",Aug 2009 - Jun 2012,WGO,10993,Women's Golf
"University of California, Riverside","Downey, Tim",Aug 2012 - Oct 2015,MTE,30346,Men's Tennis
The University of Texas Rio Grande Valley,"Downing, Denny",Oct 2009 - Apr 2013,WBB,22250,Women's Basketball
University of Northern Colorado,"Downing, Scott",Feb 2006 - Dec 2010,MFB,1748,Football
Portland State University,"Downs, Kailin",Nov 2013 -,WGO,37419,Women's Golf
Tennessee Technological University,"Doyle, Kenny",Sep 2009 -,MTE,23109,Men's Tennis
University of Montana,"Doyon, Brian",Mar 2015 - Feb 2017,WVB,39845,Women's Volleyball
"University at Buffalo, the State University of New York","Dozier, Cheryl",Aug 1999 - Apr 2005,WBB,5998,Women's Basketball
Brown University,"Drabinski, Marek",Sep 1996 - Jul 2014,MBA,8989,Baseball
University of Kentucky,"Drada, Carlos",Sep 2005 -,WTE,5643,Women's Tennis
Western Carolina University,"Dragan, Stephanie",Feb 2004 - Dec 2008,WVB,6274,Women's Volleyball
Grambling State University,"Drain, Donnita",Aug 2008 - Jul 2012,WBB,8842,Women's Basketball
Dartmouth College,"Drake, Chris",Oct 2010 -,MTE,29104,Men's Tennis
George Mason University,"Drake, Diane",Aug 2003 - Apr 2015,WSO,7426,Women's Soccer
Georgetown University,"Drake, Diane",Mar 1999 - Apr 2004,WSO,7158,Women's Soccer
Lamar University,"Drake, Leonard",May 2002 - Apr 2007,WBB,3874,Women's Basketball
University of Tennessee at Martin,"Draper, Amy",May 2005 - Dec 2007,WVB,50803,Women's Volleyball
University of South Florida,"Draper, Courtney",Aug 2012 -,WVB,31395,Women's Volleyball
Grand Canyon University,"Draskin, Petar",Sep 2003 - Jan 2015,MSO,16961,Men's Soccer
"University of Missouri, Columbia","Drass, Robert",Aug 2003 - May 2013,WGY,51030,Women's Gymnastics
University of Rhode Island,"Drennan, Tom",Aug 2003 - Jul 2011,MGO,659,Men's Golf
Michigan State University,"Drenth, Walt",Aug 2006 -,MCC,3082,Men's Cross Country
Michigan State University,"Drenth, Walt",Jul 2006 -,WTO,9123,"Women's Track, Outdoor"
Michigan State University,"Drenth, Walt",Jul 2006 -,WTI,20481,"Women's Track, Indoor"
Michigan State University,"Drenth, Walt",Aug 2006 -,MTO,1075,"Men's Track, Outdoor"
Michigan State University,"Drenth, Walt",Aug 2006 -,WCC,6720,Women's Cross Country
Michigan State University,"Drenth, Walt",Aug 2006 -,MTI,1778,"Men's Track, Indoor"
University of Detroit Mercy,"Dressell, Todd",May 1999 -,WFE,22263,Women's Fencing
University of Detroit Mercy,"Dressell, Todd",May 1999 -,MFE,22262,Men's Fencing
Virginia Polytechnic Institute and State University,"Dresser, Kevin",May 2006 - Mar 2017,MWR,5437,Men's Wrestling
Iowa State University,"Dresser, Kevin",Jul 2017 -,MWR,46755,Men's Wrestling
Eastern Washington University,"Dreves, Patrick",Aug 2003 - Aug 2007,WTE,4030,Women's Tennis
Eastern Washington University,"Dreves, Patrick",Aug 2003 - Aug 2007,MTE,3850,Men's Tennis
Vanderbilt University,"Drew, Bryce",May 2016 -,MBB,43065,Men's Basketball
Valparaiso University,"Drew, Bryce",Jun 2011 - May 2016,MBB,27378,Men's Basketball
Valparaiso University,"Drew, Homer",Sep 2003 - Jun 2011,MBB,22264,Men's Basketball
Baylor University,"Drew, Scott",Aug 2003 -,MBB,5625,Men's Basketball
The Citadel,"Driesell, Chuck",May 2010 - Apr 2015,MBB,24015,Men's Basketball
Birmingham-Southern College,"Drinkard, Michele",Aug 2005 - Aug 2007,WGO,7700,Women's Golf
Mercer University,"Drinkard, Michele",Aug 2015 -,WGO,41464,Women's Golf
University of Mississippi,"Drinkard, Michele",Aug 2007 - Jun 2015,WGO,9721,Women's Golf
St. Francis College Brooklyn,"Driscoll, Chris",Sep 2013 - Dec 2014,MSW,34499,Men's Swimming and Diving
University of North Florida,"Driscoll, Matthew",May 2009 -,MBB,19032,Men's Basketball
Princeton University,"Driscoll, Sean",Feb 2015 -,WSO,40051,Women's Soccer
Manhattan College,"Driscoll, Sean",Aug 2004 - Aug 2010,WSO,7871,Women's Soccer
Manhattan College,"Drivas, Jim",Aug 2004 - Sep 2010,WLA,6666,Women's Lacrosse
Northwestern University,"Drohan, Kate",Aug 2001 -,WSB,3050,Softball
Georgia Institute of Technology,"Drosky, Alan",Sep 1991 -,WCC,9378,Women's Cross Country
Georgia Institute of Technology,"Drosky, Alan",Sep 1991 -,WTI,8632,"Women's Track, Indoor"
Georgia Institute of Technology,"Drosky, Alan",Sep 1991 -,MCC,1364,Men's Cross Country
Georgia Institute of Technology,"Drosky, Alan",Sep 1991 -,WTO,4381,"Women's Track, Outdoor"
"California State University, Fullerton","Drotter, Jason",Jan 2009 -,MGO,19739,Men's Golf
University of Oklahoma,"Drouin, Veronique",Aug 2009 -,WGO,22738,Women's Golf
Georgia Southern University,"Drown, Kip",Feb 2015 -,WBB,39057,Women's Basketball
Boston College,"Drum, Trevor",Oct 2004 - Jul 2012,WGO,7679,Women's Golf
Boston College,"Drum, Trevor",Aug 1999 - Jul 2012,MGO,3110,Men's Golf
Delaware State University,"Drummond, Damion",Oct 2015 - Jul 2017,MTO,39267,"Men's Track, Outdoor"
University of Maryland Eastern Shore,"Drummond, Damion",Aug 2017 -,WCC,49624,Women's Cross Country
Delaware State University,"Drummond, Damion",Oct 2015 - Jul 2017,WTI,39266,"Women's Track, Indoor"
Delaware State University,"Drummond, Damion",Oct 2015 - Jul 2017,WCC,39264,Women's Cross Country
University of Maryland Eastern Shore,"Drummond, Damion",Aug 2017 -,MTO,49627,"Men's Track, Outdoor"
University of Maryland Eastern Shore,"Drummond, Damion",Aug 2017 -,WTI,49626,"Women's Track, Indoor"
University of Maryland Eastern Shore,"Drummond, Damion",Aug 2017 -,MTI,49625,"Men's Track, Indoor"
Delaware State University,"Drummond, Damion",Oct 2015 - Jul 2017,MTI,39265,"Men's Track, Indoor"
Delaware State University,"Drummond, Damion",Oct 2015 - Jul 2017,WTO,39268,"Women's Track, Outdoor"
University of Maryland Eastern Shore,"Drummond, Damion",Aug 2017 -,MCC,49623,Men's Cross Country
University of Maryland Eastern Shore,"Drummond, Damion",Aug 2017 -,WTO,49628,"Women's Track, Outdoor"
Delaware State University,"Drummond, Damion",Oct 2015 - Jul 2017,MCC,39263,Men's Cross Country
"University of California, Berkeley","Drury-Pinto, Amber",Oct 2002 - Sep 2005,WWP,2003,Women's Water Polo
"University of California, Berkeley","DuBois, Cari",Aug 2002 - Jul 2011,WGY,22265,Women's Gymnastics
University of North Carolina Wilmington,"DuBois, Mait",Aug 2007 -,MTE,582,Men's Tennis
University of Connecticut,"DuBois, Ron",Aug 2002 - Jul 2007,MGO,4033,Men's Golf
Utah State University,"DuBose, Grayson",Apr 2006 -,WVB,4892,Women's Volleyball
Northwestern State University,"Dubois, Patric",Feb 2012 - Sep 2014,WTE,30634,Women's Tennis
Northwestern State University,"Dubois, Patric",Sep 2006 - Sep 2010,WTE,7914,Women's Tennis
Grambling State University,"Duckett, Rick",Oct 2008 - Sep 2009,MBB,3163,Men's Basketball
University of Alabama,"Duckworth, Dana",Aug 2014 -,WGY,37312,Women's Gymnastics
Princeton University,"Dudas, Zoltan",Aug 2006 -,WFE,22266,Women's Fencing
Princeton University,"Dudas, Zoltan",Aug 2006 -,MFE,22267,Men's Fencing
Jacksonville State University,"Dudley, Heath",Jun 2003 - Jun 2005,WTI,1485,"Women's Track, Indoor"
Jacksonville State University,"Dudley, Heath",Aug 2003 - Aug 2005,MCC,3586,Men's Cross Country
Jacksonville State University,"Dudley, Heath",Aug 2003 - Aug 2005,WCC,4697,Women's Cross Country
Jacksonville State University,"Dudley, Heath",Jun 2003 - Jun 2005,WTO,5909,"Women's Track, Outdoor"
Mississippi State University,"Dudley, Steve",Sep 2010 - Oct 2018,WTO,24921,"Women's Track, Outdoor"
Mississippi State University,"Dudley, Steve",Sep 2010 - Oct 2018,MTI,28966,"Men's Track, Indoor"
Mississippi State University,"Dudley, Steve",Aug 2003 - Oct 2018,MCC,8326,Men's Cross Country
Mississippi State University,"Dudley, Steve",Sep 2010 - Oct 2018,WTI,24922,"Women's Track, Indoor"
Mississippi State University,"Dudley, Steve",Sep 2010 - Oct 2018,WCC,24923,Women's Cross Country
Mississippi State University,"Dudley, Steve",Sep 2010 - Oct 2018,MTO,24925,"Men's Track, Outdoor"
University of Montana,"Duerksen, Betsy",Aug 2003 - Feb 2004,WSO,4085,Women's Soccer
University of Wisconsin-Madison,"Duerst, Dean",Aug 1994 - Feb 2007,WSO,7842,Women's Soccer
Cornell University,"Duesing, Lou",Aug 2003 - Jul 2011,WTI,1312,"Women's Track, Indoor"
Cornell University,"Duesing, Lou",Aug 2003 - Jul 2011,WTO,6539,"Women's Track, Outdoor"
Cornell University,"Duesing, Lou",Aug 2003 - Jul 2011,WCC,231,Women's Cross Country
Siena College,"Duffy, Andrea",Sep 2008 - Sep 2013,WLA,4388,Women's Lacrosse
Manhattan College,"Duffy, James",Oct 2011 - Aug 2017,MBA,29190,Baseball
Miami University (Ohio),"Duffy, Megan",May 2017 -,WBB,46455,Women's Basketball
Florida Atlantic University,"Dugan, Chancellor",Aug 1999 - May 2012,WBB,1447,Women's Basketball
Gardner-Webb University,"Duggins, Jacquelyn",Aug 2013 - Jul 2015,WLA,36821,Women's Lacrosse
Miami University (Ohio),"Dumitrescu, Anca",Sep 2010 - Aug 2014,WTE,27264,Women's Tennis
Presbyterian College,"Dunagan, Catherine",Aug 2011 -,WTE,28983,Women's Tennis
University of New Mexico,"Dunbar, Ben",Aug 2016 -,MTE,44251,Men's Tennis
"Indiana University, Bloomington","Dunbar, Sherry",Jan 2007 - Feb 2018,WVB,3856,Women's Volleyball
College of Charleston (South Carolina),"Dunbar, Sherry",Aug 2003 - Jan 2007,WVB,3852,Women's Volleyball
Texas Southern University,"Duncan, Clyde",Aug 2003 -,MTO,6644,"Men's Track, Outdoor"
Texas Southern University,"Duncan, Clyde",Sep 2010 -,MCC,27527,Men's Cross Country
Texas Southern University,"Duncan, Clyde",Aug 2003 - Aug 2006,MCC,8656,Men's Cross Country
Texas Southern University,"Duncan, Clyde",Aug 2003 -,MTI,1371,"Men's Track, Indoor"
Texas Southern University,"Duncan, Clyde",Aug 2003 - Aug 2009,WTI,9058,"Women's Track, Indoor"
Texas Southern University,"Duncan, Clyde",Aug 2003 - Aug 2009,WTO,1696,"Women's Track, Outdoor"
Texas Southern University,"Duncan, Clyde",Aug 2003 - Aug 2006,WCC,1960,Women's Cross Country
University of North Carolina Asheville,"Duncan, Dean",Aug 2003 - Aug 2007,MTO,1079,"Men's Track, Outdoor"
University of North Carolina Asheville,"Duncan, Dean",Aug 2003 - Aug 2007,MTI,7544,"Men's Track, Indoor"
University of North Carolina Asheville,"Duncan, Dean",Aug 2003 - Aug 2007,WCC,5731,Women's Cross Country
University of North Carolina Asheville,"Duncan, Dean",Aug 2001 - Jun 2007,WTI,1567,"Women's Track, Indoor"
University of North Carolina Asheville,"Duncan, Dean",Aug 2003 - Aug 2007,MCC,1752,Men's Cross Country
University of North Carolina Asheville,"Duncan, Dean",Aug 2001 - Jun 2007,WTO,2486,"Women's Track, Outdoor"
Kent State University,"Duncan, Jeffrey",Jul 2013 -,MBA,34759,Baseball
Eastern Kentucky University,"Duncan, Lori",Apr 1998 -,WVB,22268,Women's Volleyball
University of Central Arkansas,"Duncan, Ross",Apr 2012 -,MSO,29883,Men's Soccer
Longwood University,"Duncan, Shirley",Nov 1983 - Jan 2006,WBB,6062,Women's Basketball
"University of Nevada, Reno","Duncan, Tom",Aug 2003 - Jul 2004,MGO,4737,Men's Golf
Alabama State University,"Duncombe, Henry",Aug 2003 - Aug 2004,WGO,1634,Women's Golf
Alabama State University,"Duncombe, Henry",Aug 2003 - Aug 2004,MGO,7057,Men's Golf
Virginia Polytechnic Institute and State University,"Dunkenberger, Beth",May 2004 - Apr 2011,WBB,9079,Women's Basketball
Loyola Marymount University,"Dunlap, Michael",Apr 2014 -,MBB,35360,Men's Basketball
Tulane University,"Dunleavy Sr., Mike",May 2016 -,MBB,43055,Men's Basketball
Quinnipiac University,"Dunleavy, Baker",Apr 2017 -,MBB,46217,Men's Basketball
Georgia Southern University,"Dunleavy, Brian",Jul 2013 -,WSO,33021,Women's Soccer
Samford University,"Dunn, Casey",Aug 2004 -,MBA,1502,Baseball
University of Virginia,"Dunn, Jason",Aug 2005 - Aug 2007,WCC,1274,Women's Cross Country
University of Virginia,"Dunn, Jason",Aug 2005 - Aug 2007,MCC,8338,Men's Cross Country
Jacksonville University,"Dunn, Jill",May 2004 - Apr 2013,WBB,7816,Women's Basketball
Stetson University,"Dunn, Mallory",Aug 2010 - Jul 2011,WCC,25019,Women's Cross Country
Stetson University,"Dunn, Mallory",Aug 2010 - Jul 2011,MCC,24747,Men's Cross Country
Stetson University,"Dunn, Pete",Sep 1979 - Oct 2016,MBA,22269,Baseball
Dartmouth College,"Dunn, Terry",Sep 2004 - May 2010,MBB,5179,Men's Basketball
University of Iowa,"Dunn, Tom",Aug 1980 - Jul 2010,MGY,9276,Men's Gymnastics
Saint Peter's University,"Dunne, John",Aug 2006 - May 2018,MBB,1801,Men's Basketball
Stanford University,"Dunning, John",Aug 2001 - Mar 2017,WVB,3943,Women's Volleyball
Temple University,"Dunphy, Fran",May 2006 -,MBB,2807,Men's Basketball
University of Pennsylvania,"Dunphy, Fran",Aug 1988 - May 2006,MBB,9522,Men's Basketball
Pepperdine University,"Dunphy, Marv",Aug 2003 - Aug 2017,MVB,3695,Men's Volleyball
Liberty University,"Dunton, Randy",Apr 2002 - Apr 2007,MBB,9260,Men's Basketball
North Carolina A&T State University,"Dunwoody, James",Aug 2003 - Aug 2006,MTE,1261,Men's Tennis
North Carolina A&T State University,"Dunwoody, James",Aug 2003 - Aug 2006,WTE,2619,Women's Tennis
Centenary College (Louisiana),"Dupree, Ken",Aug 2003 - Aug 2006,WGO,7009,Women's Golf
Northwestern State University,"Dupuy, Jordan",Aug 2016 -,WBB,44232,Women's Basketball
University of Massachusetts Lowell,"Duquette, Pat",Aug 2014 -,MBB,35994,Men's Basketball
Cornell University,"Durant, Adrian",Aug 2015 -,MTO,41066,"Men's Track, Outdoor"
Cornell University,"Durant, Adrian",Aug 2015 -,MCC,41064,Men's Cross Country
Cornell University,"Durant, Adrian",Aug 2015 -,MTI,41065,"Men's Track, Indoor"
Florida A&M University,"Durant, Joe",Aug 2003 - Aug 2007,MBA,9002,Baseball
University of Georgia,"Durante, Danna",Jun 2012 - Jun 2017,WGY,30701,Women's Gymnastics
"University of California, Berkeley","Durante, Danna",Jul 2011 - May 2012,WGY,27463,Women's Gymnastics
Samford University,"Durban, Michelle",Feb 2004 - Dec 2007,WVB,25724,Women's Volleyball
"University of California, Berkeley","Durden, Dave",Sep 2007 -,MSW,22857,Men's Swimming and Diving
"University of Maryland, College Park","Durden, Dave",Sep 2005 - Sep 2007,WSW,9716,Women's Swimming and Diving
"University of Maryland, College Park","Durden, Dave",Sep 2005 - Sep 2007,MSW,9269,Men's Swimming and Diving
Nicholls State University,"Durham, Chip",Aug 2005 - Jul 2010,MBA,5722,Baseball
Jacksonville University,"Durham, Hugh",Apr 1997 - May 2005,MBB,2246,Men's Basketball
Montana State University-Bozeman,"Durham, Mick",Aug 1990 - Apr 2006,MBB,8285,Men's Basketball
Illinois State University,"Durkac, Bo",Jul 2014 - Jul 2018,MBA,35712,Baseball
"University of Maryland, College Park","Durkin, DJ",Jan 2016 - Sep 2018,MFB,44405,Football
Duquesne University,"Durkin, Dan",Jun 1993 - Jul 2007,WBB,4339,Women's Basketball
"University of California, Santa Barbara","Durley, Jenn",Aug 2007 - Aug 2008,WWP,3350,Women's Water Polo
Boston University,"Durocher, Brian",Aug 2004 -,WIH,7729,Women's Ice Hockey
Utah State University,"Duryea, Tim",May 2015 - Apr 2018,MBB,39549,Men's Basketball
San Diego State University,"Dutcher, Brian",May 2017 -,MBB,46434,Men's Basketball
Hampton University,"Duvall, Brandon",Jun 2017 -,WVB,47497,Women's Volleyball
Norfolk State University,"Duvall, Brandon",Sep 2010 - May 2016,WVB,24881,Women's Volleyball
Vanderbilt University,"Duvenhage, Ian",Aug 2005 -,MTE,7865,Men's Tennis
Dartmouth College,"Dwyer, John",Jul 2015 -,WSK,49368,Women's Skiing
Lehigh University,"Dwyer, Judith",Jul 2012 - Jul 2017,WGO,30894,Women's Golf
University of New Mexico,"Dyche, Heather",Feb 2015 -,WSO,42087,Women's Soccer
Longwood University,"Dyer, Todd",Sep 1996 -,WSO,9885,Women's Soccer
"University of Arkansas, Fayetteville","Dykes, Jimmy",Apr 2014 - May 2017,WBB,37609,Women's Basketball
Louisiana Tech University,"Dykes, Sonny",Feb 2010 - Jan 2013,MFB,22772,Football
"University of California, Berkeley","Dykes, Sonny",Jan 2013 - Dec 2016,MFB,33959,Football
University of Utah,"Dykstra, Joe",May 2013 -,MSW,33329,Men's Swimming and Diving
University of North Texas,"Dykstra, Joe",Jun 2006 - Apr 2013,WSW,2821,Women's Swimming and Diving
University of Utah,"Dykstra, Joe",May 2013 -,WSW,33328,Women's Swimming and Diving
Drexel University,"Dynda, Mike",Oct 2003 - Feb 2016,MGO,5626,Men's Golf
University of Vermont,"Dziczkaniec, Kerry",Apr 2004 - Mar 2008,WSO,793,Women's Soccer
Brigham Young University,"Eakin, Gordon",Aug 2002 -,WSB,5236,Softball
Cornell University,"Earl, Brian",May 2016 -,MBB,43067,Men's Basketball
Virginia Military Institute,"Earl, Dan",May 2015 -,MBB,40753,Men's Basketball
Georgia Institute of Technology,"Earleywine, Ehren",Aug 2003 - Aug 2006,WSB,5627,Softball
"University of Missouri, Columbia","Earleywine, Ehren",Oct 2006 - Feb 2018,WSB,9490,Softball
University of Louisiana at Monroe,"Early, Orlando",May 2005 - May 2010,MBB,9303,Men's Basketball
Grambling State University,"Early, Wilbert",Aug 2006 - Jun 2018,WSB,2027,Softball
Eastern Washington University,"Earlywine, Kirk",Jul 2007 - Apr 2011,MBB,9995,Men's Basketball
Long Island University-Brooklyn Campus,"Earnshaw, Eleri",Mar 2017 -,WSO,49638,Women's Soccer
North Carolina State University,"Earnshaw, Simon",Jun 2014 -,WTE,36329,Women's Tennis
Campbell University,"Easley, Dawn",Mar 2014 -,WLA,38593,Women's Lacrosse
University of Northern Colorado,"Easley, Shana",Nov 2012 - Oct 2018,WSB,34844,Softball
McNeese State University,"Eastman, Scott",Jun 1992 - Sep 2004,WSB,986,Softball
North Carolina A&T State University,"Eaves, Jerry",Aug 2003 - Jun 2012,MBB,4202,Men's Basketball
University of Wisconsin-Madison,"Eaves, Mike",Jun 2002 - May 2016,MIH,1535,Men's Ice Hockey
George Mason University,"Ebanks, Dalton",Aug 2003 - Sep 2005,MCC,25644,Men's Cross Country
George Mason University,"Ebanks, Dalton",Aug 2003 - Sep 2005,MTO,4557,"Men's Track, Outdoor"
George Mason University,"Ebanks, Dalton",Aug 2003 - Sep 2005,MTI,1296,"Men's Track, Indoor"
University of Northern Colorado,"Ebeling, Lisa",Sep 2016 -,WSW,45395,Women's Swimming and Diving
The University of Southern Mississippi,"Ebke, Scott",Aug 2008 - Dec 2012,WSO,2480,Women's Soccer
University of Louisville,"Ecarma, Rex",Aug 2003 -,MTE,2604,Men's Tennis
Seton Hall University,"Echeverry, Gerson",Feb 2012 - Dec 2017,MSO,31886,Men's Soccer
University of Dayton,"Echko, Erica",Sep 2005 - Jun 2007,WTE,14,Women's Tennis
University of Texas at El Paso,"Echo-Hawk, Tobin",Jul 2013 -,WSB,34484,Softball
Portland State University,"Echo-Hawk, Tobin",Aug 2008 - Jun 2013,WSB,4288,Softball
Western Carolina University,"Eckberg, Tim",Oct 2015 -,MGO,42509,Men's Golf
Florida Atlantic University,"Eckelkamp, Steve",Sep 1991 - Jun 2014,MSW,5545,Men's Swimming and Diving
Florida Atlantic University,"Eckelkamp, Steve",Sep 1989 - Jun 2014,WSW,3910,Women's Swimming and Diving
Mercer University,"Economopoulos, Tony",Mar 2012 -,WSO,32005,Women's Soccer
Davidson College,"Economou, Betsy",Aug 2005 - Aug 2007,WLA,6996,Women's Lacrosse
Boston University,"Edelmann, Rick",Oct 2008 - Feb 2014,MTE,5757,Men's Tennis
Southeast Missouri State University,"Edgar, Scott",Jun 2006 - Jan 2009,MBB,8169,Men's Basketball
"University of California, Irvine","Edles, Mike",Aug 2003 - Jan 2016,WTE,5100,Women's Tennis
Binghamton University,"Edmonston, Emily",Sep 2004 - Aug 2007,WLA,5374,Women's Lacrosse
University of Connecticut,"Edsall, Randy",Feb 2017 -,MFB,45859,Football
University of Connecticut,"Edsall, Randy",Jan 1999 - Jan 2011,MFB,22271,Football
"University of Maryland, College Park","Edsall, Randy",Feb 2011 - Nov 2015,MFB,26340,Football
Iona College,"Edwards, Alan",Aug 2006 - Aug 2011,WVB,22272,Women's Volleyball
Lamar University,"Edwards, Alan",Jan 2014 - Apr 2018,WVB,35514,Women's Volleyball
University of Wyoming,"Edwards, Allen",May 2016 -,MBB,43317,Men's Basketball
Gonzaga University,"Edwards, Amy",Mar 2009 - Dec 2016,WSO,10053,Women's Soccer
Hofstra University,"Edwards, Bill W.",Aug 2003 - Jun 2014,WSB,1215,Softball
Florida International University,"Edwards, Everton",Aug 2003 - Aug 2005,WSO,5912,Women's Soccer
Saint Mary's College of California,"Edwards, Kai",Mar 2009 - Feb 2015,WSO,19991,Women's Soccer
DePaul University,"Edwards, Nadia",Mar 2010 - Feb 2018,WVB,25624,Women's Volleyball
"University of Colorado, Boulder","Edwards, Roy",Sep 2006 -,MGO,5736,Men's Golf
Alcorn State University,"Edwards, Tonya",Aug 2008 - Apr 2016,WBB,21581,Women's Basketball
Cleveland State University,"Effner, Jack",Aug 1998 - Sep 2008,MWR,488,Men's Wrestling
Sacred Heart University,"Efstathiou, Kalani",Sep 2012 - Jul 2015,MVB,38144,Men's Volleyball
Austin Peay State University,"Egbert, Bill",Apr 2011 - Jan 2012,WVB,28784,Women's Volleyball
Kennesaw State University,"Eggerth, Andy",Oct 2010 - Oct 2018,MTI,25406,"Men's Track, Indoor"
